Dr. Boom	130	
Sylvanas Windrunner	88	
Toshley	76	
Loatheb	66	
Bloodmage Thalnos	50	
Blingtron 3000	44	
Millhouse Manastorm	30	
Lorewalker Cho	12	
Onyxia	100	
King Krush	86	
Sneed's Old Shredder	78	
Illidan Stormrage	68	
Tinkmaster Overspark	50	
Mimiron's Head	44	
Baron Rivendare	30	
Nat Pagle	22	
Deathwing	100	
Gahz'rilla	76	
Mogor the Ogre	68	
Captain Greenskin	52	
Stalagg	40	
Gazlowe	34	
Rend Blackhand	20	
Gruul	68	
Harrison Jones	58	
Majordomo Executus	48	
Nozdormu	38	
Hemet Nesingwary	58	
Leeroy Jenkins	52	
Baron Geddon	98	
The Beast	58	
Kel'Thuzad	90	
Cairne Bloodhoof	80	
Malygos	54	
Ragnaros the Firelord	94	
Emperor Thaurissan	80	
Feugen	72	
Foe Reaper 4000	80	
Hogger	70	
King Mukla	64	
Nefarian	82	
Maexxna	74	
Ysera	84	
The Black Knight	74	
Troggzor the Earthinator	74	
Chromaggus	70	
Alexstrasza	72	
Mekgineer Thermaplugg	70	
Steamwheedle Sniper	86	
Snake Trap	78	
Big Game Hunter	64	
Echoing Ooze	50	
Southsea Captain	40	
Bestial Wrath	36	
Feign Death	10	
Gladiator's Longbow	82	
Fel Reaver	70	
Blood Knight	62	
Recombobulator	58	
Molten Giant	48	
Doomsayer	30	
Junkbot	10	
Sea Giant	82	
Piloted Sky Golem	78	
Shade of Naxxramas	68	
Faceless Manipulator	58	
Hungry Crab	30	
Clockwork Giant	28	
Hobgoblin	38	
Murloc Warleader	38	
Enhance-o Mechano	36	
Mini-Mage	34	
Mountain Giant	34	
Savannah Highmane	110	
Knife Juggler	76	
Emperor Cobra	64	
Crazed Alchemist	50	
Young Priestess	44	
Call Pet	32	
Target Dummy	18	
Ancient Watcher	2	
Eaglehorn Bow	74	
Imp Master	66	
Sunfury Protector	54	
Flare	42	
Bloodsail Corsair	34	
Angry Chicken	16	
Alarm-o-Bot	1	
Azure Drake	78	
Mind Control Tech	66	
Wild Pyromancer	56	
Pint-Sized Summoner	44	
Mana Wraith	30	
Dragon Egg	22	
Sludge Belcher	76	
Defender of Argus	66	
Arcane Golem	54	
Demolisher	42	
Nerubian Egg	36	
Lightwarden	24	
Twilight Drake	66	
Gnomish Experimenter	54	
Goblin Sapper	40	
Deathlord	38	
Murloc Tidecaller	20	
Bomb Lobber	80	
Violet Teacher	66	
Injured Blademaster	54	
Illuminator	44	
Lil' Exorcist	36	
Secretkeeper	22	
Explosive Shot	80	
Madder Bomber	68	
Metaltooth Leaper	50	
Kezan Mystic	42	
Jeeves	32	
Mana Addict	12	
Stampeding Kodo	84	
Questing Adventurer	52	
Arcane Nullifier X-21	44	
Gadgetzan Auctioneer	38	
Master Swordsmith	20	
Argent Commander	82	
Core Rager	50	
Wailing Soul	48	
Misdirection	22	
Sunwalker	80	
Abomination	46	
Coldlight Oracle	12	
King of Beasts	48	
Coldlight Seer	10	
Ravenholdt Assassin	46	
Ancient Mage	20	
Grim Patron	18	
Haunted Creeper	76	
Hunter's Mark	66	
Argent Squire	58	
Cogmaster	40	
Murloc Raider	38	
Wisp	22	
Stoneskin Gargoyle	2	
Dark Iron Dwarf	76	
Webspinner	66	
Clockwork Gnome	56	
Stonetusk Boar	46	
Southsea Deckhand	38	
Goldshire Footman	24	
Worgen Infiltrator	68	
Elven Archer	58	
Voodoo Doctor	44	
Undertaker	30	
Grimscale Oracle	12	
Zombie Chow	66	
Tracking	56	
Ironbeak Owl	48	
Explosive Trap	38	
Shieldbearer	20	
Mad Bomber	68	
Acidic Swamp Ooze	58	
Mad Scientist	46	
Frostwolf Grunt	30	
Timber Wolf	24	
Glaivezooka	80	
Kill Command	68	
Annoy-o-Tron	50	
Murloc Tidehunter	44	
Kobold Geomancer	30	
Young Dragonhawk	20	
Piloted Shredder	80	
Ogre Brute	66	
Bloodfen Raptor	56	
Blackwing Technician	46	
Nerub'ar Weblord	38	
Explosive Sheep	26	
Quick Shot	72	
Scarlet Crusader	68	
Bloodsail Raider	56	
Ironfur Grizzly	48	
Snipe	38	
Dalaran Mage	12	
Animal Companion	74	
Shattered Sun Cleric	68	
Bluegill Warrior	52	
Tinkertown Technician	46	
Unstable Ghoul	38	
Flying Machine	12	
