Dr. Boom	130	
Baron Geddon	88	
Toshley	76	
Loatheb	66	
Bloodmage Thalnos	52	
Blingtron 3000	44	
Millhouse Manastorm	30	
Lorewalker Cho	12	
Onyxia	100	
Sylvanas Windrunner	88	
Sneed's Old Shredder	78	
Illidan Stormrage	66	
Tinkmaster Overspark	58	
Mimiron's Head	44	
Baron Rivendare	30	
Nat Pagle	22	
Deathwing	100	
Mogor the Ogre	68	
Harrison Jones	58	
Stalagg	40	
Gazlowe	30	
Captain Greenskin	28	
Gruul	68	
Hemet Nesingwary	58	
Majordomo Executus	48	
Nozdormu	38	
Rend Blackhand	20	
Mekgineer Thermaplugg	68	
Leeroy Jenkins	52	
The Beast	54	
Kel'Thuzad	90	
Malygos	54	
Ragnaros the Firelord	92	
Cairne Bloodhoof	80	
Emperor Thaurissan	80	
Feugen	72	
Archmage Antonidas	84	
Hogger	74	
King Mukla	60	
Foe Reaper 4000	80	
Maexxna	70	
Flame Leviathan	64	
Alexstrasza	80	
The Black Knight	74	
Nefarian	82	
Troggzor the Earthinator	74	
Ysera	84	
Chromaggus	70	
Sea Giant	82	
Fel Reaver	70	
Big Game Hunter	64	
Echoing Ooze	50	
Southsea Captain	40	
Doomsayer	30	
Hungry Crab	26	
Piloted Sky Golem	78	
Blood Knight	62	
Recombobulator	58	
Molten Giant	48	
Hobgoblin	38	
Ice Block	20	
Pyroblast	72	
Shade of Naxxramas	66	
Faceless Manipulator	58	
Echo of Medivh	42	
Spellbender	36	
Junkbot	10	
Murloc Warleader	38	
Clockwork Giant	28	
Enhance-o Mechano	36	
Wee Spellstopper	30	
Mini-Mage	36	
Mountain Giant	34	
Knife Juggler	76	
Unstable Portal	60	
Crazed Alchemist	50	
Young Priestess	46	
Bloodsail Corsair	30	
Target Dummy	20	
Angry Chicken	8	
Defender of Argus	70	
Emperor Cobra	60	
Sunfury Protector	54	
Pint-Sized Summoner	44	
Mana Wraith	30	
Dragon Egg	22	
Ancient Watcher	2	
Goblin Blastmage	74	
Flamewaker	60	
