Dr. Boom	130	
Sylvanas Windrunner	88	
Toshley	76	
Loatheb	66	
Bloodmage Thalnos	50	
Blingtron 3000	44	
Millhouse Manastorm	30	
Lorewalker Cho	12	
Tirion Fordring	130	
Hogger	76	
Illidan Stormrage	68	
Bolvar Fordragon	56	
Leeroy Jenkins	48	
Baron Rivendare	30	
Nat Pagle	22	
Onyxia	100	
Baron Geddon	78	
Mogor the Ogre	66	
Captain Greenskin	52	
Mimiron's Head	44	
Nozdormu	38	
Rend Blackhand	20	
Deathwing	100	
Sneed's Old Shredder	78	
Gruul	68	
Harrison Jones	58	
Stalagg	40	
Hemet Nesingwary	58	
Gazlowe	40	
The Beast	54	
Majordomo Executus	48	
Kel'Thuzad	90	
Malygos	54	
Ragnaros the Firelord	92	
Cairne Bloodhoof	80	
Emperor Thaurissan	80	
Feugen	72	
Foe Reaper 4000	80	
Maexxna	70	
King Mukla	64	
Alexstrasza	80	
The Black Knight	74	
Tinkmaster Overspark	60	
Nefarian	82	
Troggzor the Earthinator	74	
Ysera	84	
Chromaggus	70	
Mekgineer Thermaplugg	70	
Coghammer	120	
Sea Giant	88	
Sword of Justice	70	
Big Game Hunter	64	
Echoing Ooze	52	
Southsea Captain	40	
Doomsayer	30	
Hungry Crab	26	
Fel Reaver	70	
Blood Knight	62	
Recombobulator	58	
Enhance-o Mechano	42	
Hobgoblin	32	
Junkbot	10	
Piloted Sky Golem	78	
Shade of Naxxramas	66	
Quartermaster	58	
Molten Giant	48	
Murloc Warleader	38	
Clockwork Giant	28	
Avenging Wrath	68	
Faceless Manipulator	58	
Mini-Mage	32	
Lay on Hands	64	
Mountain Giant	34	
Muster for Battle	120	
Equality	70	
Emperor Cobra	60	
Crazed Alchemist	50	
Young Priestess	46	
Bloodsail Corsair	30	
Target Dummy	20	
Angry Chicken	8	
Aldor Peacekeeper	100	
Knife Juggler	76	
Imp Master	68	
Sunfury Protector	56	
Nerubian Egg	40	
Mana Wraith	30	
Dragon Egg	20	
Ancient Watcher	2	
Defender of Argus	72	
Mind Control Tech	66	
Wild Pyromancer	56	
Pint-Sized Summoner	44	
Jeeves	32	
Lightwarden	20	
Alarm-o-Bot	1	
Azure Drake	78	
Scarlet Purifier	62	
Arcane Golem	52	
Deathlord	42	
Abomination	36	
Murloc Tidecaller	16	
Twilight Drake	66	
Gnomish Experimenter	52	
Demolisher	42	
Blessed Champion	30	
Secretkeeper	28	
Bomb Lobber	80	
Violet Teacher	68	
Injured Blademaster	54	
Divine Favor	40	
Cobalt Guardian	36	
Mana Addict	12	
Sludge Belcher	80	
Dragon Consort	66	
Questing Adventurer	56	
Goblin Sapper	40	
Gadgetzan Auctioneer	38	
Master Swordsmith	20	
Stampeding Kodo	80	
Madder Bomber	68	
Illuminator	44	
Coldlight Oracle	12	
Argent Commander	80	
Kezan Mystic	42	
Coldlight Seer	10	
Sunwalker	84	
Lil' Exorcist	40	
Ancient Mage	20	
Arcane Nullifier X-21	48	
Grim Patron	18	
Wailing Soul	48	
Holy Wrath	44	
Ravenholdt Assassin	44	
Truesilver Champion	86	
Zombie Chow	76	
Mad Bomber	68	
Argent Squire	54	
Blessing of Might	46	
Cogmaster	38	
Wisp	16	
Eye for an Eye	4	
Blessing of Kings	76	
Earthen Ring Farseer	66	
Avenge	54	
Hand of Protection	40	
Murloc Raider	34	
Goldshire Footman	22	
Grimscale Oracle	8	
Dark Iron Dwarf	76	
Ogre Brute	66	
Blessing of Wisdom	54	
Humility	48	
Repentance	34	
Shieldbearer	22	
Stoneskin Gargoyle	2	
Stormwind Champion	76	
Scarlet Crusader	68	
Clockwork Gnome	52	
Leper Gnome	40	
Stonetusk Boar	38	
Undertaker	26	
Cult Master	66	
Elven Archer	54	
Noble Sacrifice	48	
Southsea Deckhand	38	
Young Dragonhawk	10	
Argent Protector	82	
Sen'jin Shieldmasta	68	
Light's Justice	52	
Voodoo Doctor	40	
Frostwolf Grunt	32	
Explosive Sheep	26	
Shielded Minibot	82	
Spellbreaker	66	
Redemption	50	
Ironbeak Owl	44	
Holy Light	30	
Dalaran Mage	14	
Consecration	80	
Haunted Creeper	74	
Frostwolf Warlord	66	
Acidic Swamp Ooze	58	
Mad Scientist	42	
Kobold Geomancer	32	
Flying Machine	12	
Piloted Shredder	80	
Harvest Golem	70	
