Dr. Boom	130	
Sylvanas Windrunner	88	
Hogger	78	
Loatheb	66	
Bloodmage Thalnos	52	
Blingtron 3000	44	
Millhouse Manastorm	30	
Lorewalker Cho	12	
Onyxia	100	
Alexstrasza	88	
Sneed's Old Shredder	78	
Mogor the Ogre	68	
Tinkmaster Overspark	58	
Mimiron's Head	44	
Baron Rivendare	30	
Nat Pagle	22	
Deathwing	100	
Gruul	68	
Harrison Jones	58	
Stalagg	40	
Gazlowe	34	
Rend Blackhand	20	
Mekgineer Thermaplugg	68	
Hemet Nesingwary	58	
Majordomo Executus	48	
Nozdormu	38	
Leeroy Jenkins	52	
The Beast	54	
Kel'Thuzad	90	
Malygos	54	
Ragnaros the Firelord	92	
Edwin VanCleef	80	
Toshley	80	
Feugen	72	
Cairne Bloodhoof	80	
Illidan Stormrage	70	
King Mukla	60	
Emperor Thaurissan	80	
Maexxna	70	
Captain Greenskin	60	
Trade Prince Gallywix	80	
The Black Knight	74	
Baron Geddon	84	
Troggzor the Earthinator	74	
Foe Reaper 4000	80	
Chromaggus	70	
Nefarian	82	
Ysera	84	
Sabotage	80	
Fel Reaver	70	
Patient Assassin	62	
Echoing Ooze	50	
Southsea Captain	42	
Hungry Crab	30	
Preparation	16	
Sea Giant	82	
Piloted Sky Golem	78	
Big Game Hunter	64	
Recombobulator	58	
Doomsayer	30	
Junkbot	10	
Molten Giant	74	
Blood Knight	62	
Faceless Manipulator	58	
Hobgoblin	32	
Cogmaster's Wrench	24	
Shade of Naxxramas	66	
Murloc Warleader	38	
Clockwork Giant	28	
Kidnapper	62	
Enhance-o Mechano	36	
Mini-Mage	36	
Mountain Giant	34	
Sunwalker	88	
Knife Juggler	76	
Blade Flurry	64	
Young Priestess	50	
Pint-Sized Summoner	44	
Bloodsail Corsair	34	
Angry Chicken	12	
Ancient Watcher	2	
Defender of Argus	74	
Emperor Cobra	60	
Crazed Alchemist	50	
Deathlord	46	
Mana Wraith	30	
Target Dummy	28	
Alarm-o-Bot	1	
Mind Control Tech	66	
Sunfury Protector	58	
Demolisher	42	
Nerubian Egg	36	
Dragon Egg	24	
Headcrack	4	
Imp Master	66	
Wild Pyromancer	56	
Goblin Sapper	40	
Jeeves	32	
Lightwarden	24	
SI:7 Agent	90	
Perdition's Blade	60	
Arcane Golem	52	
Illuminator	40	
Abomination	38	
Murloc Tidecaller	20	
Dark Iron Skulker	92	
Azure Drake	80	
Questing Adventurer	60	
Gnomish Experimenter	54	
Iron Sensei	42	
Secretkeeper	22	
Bomb Lobber	80	
Twilight Drake	66	
Injured Blademaster	54	
Kezan Mystic	42	
Mana Addict	12	
Sludge Belcher	84	
Violet Teacher	68	
Arcane Nullifier X-21	52	
Lil' Exorcist	44	
Master Swordsmith	20	
Stampeding Kodo	80	
Madder Bomber	68	
Master of Disguise	52	
Wailing Soul	48	
One-eyed Cheat	20	
Argent Commander	80	
Ogre Ninja	66	
Gadgetzan Auctioneer	44	
Coldlight Oracle	12	
Ravenholdt Assassin	44	
Coldlight Seer	10	
Ancient Mage	22	
Grim Patron	18	
Defias Ringleader	74	
Deadly Poison	68	
Argent Squire	58	
Cold Blood	42	
Goldshire Footman	30	
Shadowstep	16	
Gang Up	2	
Dark Iron Dwarf	76	
Worgen Infiltrator	66	
Clockwork Gnome	58	
Cogmaster	42	
Murloc Raider	38	
Wisp	20	
Stoneskin Gargoyle	2	
Mad Bomber	68	
Elven Archer	56	
Leper Gnome	44	
Undertaker	30	
Conceal	16	
Earthen Ring Farseer	68	
Southsea Deckhand	58	
Stonetusk Boar	42	
Frostwolf Grunt	34	
Grimscale Oracle	12	
Fan of Knives	68	
Acidic Swamp Ooze	58	
Voodoo Doctor	46	
Kobold Geomancer	34	
Sinister Strike	20	
Backstab	82	
Ogre Brute	66	
Annoy-o-Tron	58	
Ironbeak Owl	42	
Nerub'ar Weblord	38	
Shieldbearer	28	
Zombie Chow	80	
Scarlet Crusader	68	
Bloodfen Raptor	52	
Murloc Tidehunter	44	
Dancing Swords	32	
Young Dragonhawk	14	
Goblin Auto-Barber	80	
Haunted Creeper	72	
Shattered Sun Cleric	68	
Bluegill Warrior	50	
Unstable Ghoul	42	
Gnomeregan Infantry	32	
Explosive Sheep	26	
Eviscerate	80	
Sap	70	
Spectral Knight	66	
