Mind Control	Take control of an enemy minion.	Ability	Common	Basic
Ironbark Protector	Taunt	Minion	Common	Basic
Flamestrike	Deal 4 damage to all enemy minions.	Ability	Common	Basic
Sprint	Draw 4 cards.	Ability	Common	Basic
Core Hound	You donâ€™t tame a Core Hound. You just train it to eat someone else before it eats you.	Minion	Common	Basic
Guardian of Kings	Battlecry: Restore 6 Health to your hero.	Minion	Common	Basic
Stormwind Champion	Your other minions have +1/+1.	Minion	Common	Basic
War Golem	Golems are not afraid, but for some reason they still run when you cast Fear on them.  Instinct, maybe?  A desire to blend in?	Minion	Common	Basic
Starfire	Deal 5 damage.Draw a card.	Ability	Common	Basic
Vanish	Return all minions to their owner's hand.	Ability	Common	Basic
Archmage	Spell Damage +1	Minion	Common	Basic
Boulderfist Ogre	"ME HAVE GOOD STATS FOR THE COST"	Minion	Free	Basic
Dread Infernal	Battlecry: Deal 1 damage to ALL other characters.	Minion	Common	Basic
Fire Elemental	Battlecry: Deal 3 damage.	Minion	Common	Basic
Lord of the Arena	Taunt	Minion	Common	Basic
Reckless Rocketeer	Charge	Minion	Free	Basic
Arcanite Reaper	Noâ€¦ actually you should fear the Reaper.	Weapon	Common	Basic
Assassin's Blade	Guaranteed to have been owned by a real assassin.   Certificate of authenticity included.	Weapon	Common	Basic
Assassinate	Destroy an enemy minion.	Ability	Free	Basic
Bloodlust	Give your minions +3 Attack this turn.	Ability	Common	Basic
Holy Nova	Deal 2 damage to all enemies. Restore #2 Health to all friendly characters.	Ability	Common	Basic
Booty Bay Bodyguard	Taunt	Minion	Common	Basic
Darkscale Healer	Battlecry: Restore 2 Health to all friendly characters.	Minion	Common	Basic
Frostwolf Warlord	Battlecry: Gain +1/+1 for each other friendly minion on the battlefield.	Minion	Common	Basic
Gurubashi Berserker	Whenever this minion takes damage, gain +3 Attack.	Minion	Common	Basic
Nightblade	Battlecry: Deal 3 damage to the enemy hero.	Minion	Free	Basic
Starving Buzzard	Whenever you summon a Beast, draw a card.	Minion	Common	Basic
Stormpike Commando	Battlecry: Deal 2 damage.	Minion	Common	Basic
Tundra Rhino	Your Beasts have Charge.	Minion	Common	Basic
Truesilver Champion	Whenever your hero attacks, restore 2 Health to it.	Weapon	Common	Basic
Blessing of Kings	Give a minion +4/+4. (+4 Attack/+4 Health)	Ability	Common	Basic
Consecration	Deal 2 damage to all enemies.	Ability	Common	Basic
Fireball	Deal 6 damage.	Ability	Free	Basic
Hammer of Wrath	Deal 3 damage.Draw a card.	Ability	Free	Basic
Hellfire	Deal 3 damage to ALL characters.	Ability	Free	Basic
Multi-Shot	Deal 3 damage to two random enemy minions.	Ability	Free	Basic
Polymorph	Transform a minion into a 1/1 Sheep.	Ability	Free	Basic
Swipe	Deal 4 damage to an enemy and 1 damage to all other enemies.	Ability	Common	Basic
Chillwind Yeti	He always dreamed of coming down from the mountains and opening a noodle shop, but he never got the nerve.	Minion	Common	Basic
Dragonling Mechanic	Battlecry: Summon a 2/1 Mechanical Dragonling.	Minion	Common	Basic
Gnomish Inventor	Battlecry: Draw a card.	Minion	Common	Basic
Houndmaster	Battlecry: Give a friendly Beast +2/+2 and Taunt.	Minion	Free	Basic
Kor'kron Elite	Charge	Minion	Common	Basic
Oasis Snapjaw	His dreams of flying and breathing fire like his idol will never be realized.	Minion	Free	Basic
Ogre Magi	Spell Damage +1	Minion	Common	Basic
Sen'jin Shieldmasta	Taunt	Minion	Free	Basic
Stormwind Knight	Charge	Minion	Common	Basic
Water Elemental	Freeze any character damaged by this minion.	Minion	Common	Basic
Windspeaker	Battlecry: Give a friendly minion Windfury.	Minion	Common	Basic
Animal Companion	Summon a random Beast Companion.	Ability	Common	Basic
Arcane Intellect	Draw 2 cards.	Ability	Free	Basic
Charge	Give a friendly minion +2 Attack and Charge.	Ability	Free	Basic
Drain Life	Deal 2 damage. Restore #2 Health to your hero.	Ability	Free	Basic
Fan of Knives	Deal 1 damage to all enemy minions. Draw a card.	Ability	Common	Basic
Frost Nova	Freeze all enemy minions.	Ability	Common	Basic
Healing Touch	Restore #8 Health.	Ability	Free	Basic
Hex	Transform a minion into a 0/1 Frog with Taunt.	Ability	Free	Basic
Kill Command	Deal 3 damage. If you have a Beast, deal 5 damage instead.	Ability	Common	Basic
Savage Roar	Give your characters +2 Attack this turn.	Ability	Common	Basic
Shadow Bolt	Deal 4 damage to a minion.	Ability	Free	Basic
Shadow Word: Death	Destroy a minion with an Attack of 5 or more.	Ability	Common	Basic
Shield Block	Gain 5 Armor.Draw a card.	Ability	Common	Basic
Dalaran Mage	Spell Damage +1	Minion	Common	Basic
Huffer	Charge	Minion	Common	Basic
Ironforge Rifleman	Battlecry: Deal 1 damage.	Minion	Common	Basic
Ironfur Grizzly	Taunt	Minion	Common	Basic
Leokk	Your other minions have +1 Attack.	Minion	Common	Basic
Magma Rager	He likes to think he is powerful, but pretty much anyone can solo Molten Core now.	Minion	Free	Basic
Misha	Taunt	Minion	Common	Basic
Raid Leader	Your other minions have +1 Attack.	Minion	Free	Basic
Razorfen Hunter	Battlecry: Summon a 1/1 Boar.	Minion	Common	Basic
Shattered Sun Cleric	Battlecry: Give a friendly minion +1/+1.	Minion	Common	Basic
Silverback Patriarch	Taunt	Minion	Common	Basic
Warsong Commander	Whenever you summon a minion with 3 or less Attack, give it Charge.	Minion	Free	Basic
Wolfrider	Charge	Minion	Free	Basic
Armor Up!	Hero PowerGain 2 Armor.	Hero	Free	Basic
Dagger Mastery	Hero PowerEquip a 1/2 Dagger.	Hero	Free	Basic
Fireblast	Hero PowerDeal 1 damage.	Hero	Free	Basic
Lesser Heal	Hero PowerRestore 2 Health.	Hero	Free	Basic
Life Tap	Hero PowerDraw a card and take 2 damage.	Hero	Free	Basic
Reinforce	Hero PowerSummon a 1/1 Silver Hand Recruit.	Hero	Free	Basic
Shapeshift	Hero Power+1 Attack this turn.+1 Armor.	Hero	Free	Basic
Steady Shot	Hero PowerDeal 2 damage to the enemy hero.	Hero	Free	Basic
Totemic Call	Hero PowerSummon a random Totem.	Hero	Free	Basic
Fiery War Axe	During times of tranquility and harmony, this weapon was called by its less popular name, Chilly Peace Axe.	Weapon	Free	Basic
Arcane Explosion	Deal 1 damage to all enemy minions.	Ability	Free	Basic
Cleave	Deal 2 damage to two random enemy minions.	Ability	Common	Basic
Divine Spirit	Double a minion's Health.	Ability	Common	Basic
Frostbolt	Deal 3 damage to a character and Freeze it.	Ability	Common	Basic
Heroic Strike	Give your hero +4 Attack this turn.	Ability	Free	Basic
Holy Light	Restore #6 Health.	Ability	Free	Basic
Mark of the Wild	Give a minion Taunt and +2/+2. (+2 Attack/+2 Health)	Ability	Free	Basic
Mind Blast	Deal 5 damage to the enemy hero.	Ability	Free	Basic
NOOOOOOOOOOOO	Somehow, the card you USED to have has been deleted.  Here, have this one instead!	Ability		Basic
Sap	Return an enemy minion to your opponent's hand.	Ability	Free	Basic
Shadow Word: Pain	Destroy a minion with 3 or less Attack.	Ability	Free	Basic
Shiv	Deal 1 damage. Draw a card.	Ability	Common	Basic
Wild Growth	Gain an empty Mana Crystal.	Ability	Free	Basic
Windfury	Give a minion Windfury.	Ability	Free	Basic
Acidic Swamp Ooze	Battlecry: Destroy your opponent's weapon.	Minion	Common	Basic
